address,maxMint
0x0000001f1C5F0D3D5Ec4ADDFf332a9502465cF26,2
0x000000D2ED41EAa14f25Fc3832D87dD8D62A336b,2
0x00000957dcA2Ef6AA1D72F8BCa43B4519B63B657,2
0x00003E81818a2F1e1ffC41DC47D4b1716110B90a,2
0x0000fF16022B3c02f5e59f33955eC671538b0445,2
0x0002937C976286ede8BbC21D2bb35f2a80ac1af3,2
0x0004F864809eF03ABD2c3B1D3742c4451CabE2eF,2
0x00057ecdC9882fA43Dd2d732DDD43479806268a2,2
0x0005bC5D1Eb4e9b3b3D32F09655728F5734EFedd,2
0x0005EAcb6e7c57BC9BD988E613ed9Cc4cda1F386,2
0x000DBb8282f6e1f8945Ba6d94FD1652544944A44,2
0x0010404a49cfECdFFC852F4926B82CF5501e5Fe8,2
0x00179A311d6B239F2d367372b0Dd7799946e6AB6,2
0x001890eb39b44C56b73b40bbEA4adF20cb8a664B,2
0x0020Feae63b97178aF832bE1112255324b71888E,2
0x0023ddffDdD8Dc9B20A7Df575D274827C1323380,2
0x00255c82f6aF614E56f73b74F3F16A5eBEC1Fb0D,2
0x0034715C175F3dC3c07f0F3DBD462d34b1B57649,2
0x0039101dF1187c4adc97B912b8Bf603d6deDB944,2
0x004114D23bDACb07FA006b86A8b6a039B3ba0673,2
0x0042D6a66560fc330016e3e0Ac8650F61836dafD,2
0x0046F17eEfd6FB6DF9FE5f0dadBB2eb99133E31C,2
0x004eC902C941139e177d92ff17614b339655499e,2
0x004effdDADfB097161db5897C1f078D4781060a5,2
0x0053b05B6Ed0c47b4e91FA53894eF3817cAB7629,2
0x0056014B7016A0944Ab677D6Faab0c3CEe5c1e4E,2
0x005611D9B688F25c2c9DdE75AE95Abc3002478CA,2
0x005B55Ac8DE90d65c1d4c844e8AEC3B7B938471F,2
0x006fD9F7547c8b7320eC83EB253F09a69cDd8452,2
0x00751145077c039793ce4bC51BCbFf862a2681f0,2
0x007903C575e453B0A46EEfB1a15Ae2C3B2fBbF45,2
0x007a905EC15a898BD2FFcebb37c9A85b120F3232,2
0x0086cdDFd4982a92958aea12515578b3ab30eB3a,2
0x0092A40D44d331F1b1084215F2e9E66735D25263,2
0x009615E07c525de5b6C9d04A2b2F05F381729dF6,2
0x0098d077aa7c05AcA4aAb0327C28198Fd6C592E9,2
0x00A5ABe53CaC8b9B38E20b39Ed265b7dF1342A7e,2
0x00AA4aB6FE002A58EC8E576b1827eCb9cf524c71,2
